IDtag,RTC_time,,temp,humidity,loadCell,vbat,ElecCond
100,8:14_4/18,,6.59,82.15,0.78782,3.8,195
100,8:19_4/18,,6.74,82.05,0.787047,3.8,210
100,8:24_4/18,,6.89,81.82,0.785404,3.8,210
100,8:29_4/18,,6.99,81.68,0.784161,3.8,198
100,8:34_4/18,,7.08,81.28,0.783347,3.8,258
100,8:39_4/18,,7.17,81.13,0.782158,3.8,258
100,8:44_4/18,,7.38,80.84,0.781472,3.8,196
100,8:49_4/18,,7.63,80.71,0.780782,3.8,255
100,8:54_4/18,,7.67,80.33,0.779873,3.8,255
100,8:59_4/18,,7.66,80.27,0.779455,3.8,197
100,9:4_4/18,,7.79,80.15,0.779799,3.8,210
100,9:9_4/18,,7.81,79.88,0.780277,3.8,210
100,9:14_4/18,,7.68,79.84,0.778863,3.8,198
100,9:19_4/18,,7.87,79.78,0.779023,3.8,253
100,9:24_4/18,,8.28,79.06,0.777742,3.8,253
100,9:29_4/18,,8.75,78.41,0.777469,3.8,196
100,9:34_4/18,,9.07,77.73,0.776762,3.8,256
100,9:39_4/18,,9.01,77.72,0.776952,3.8,256
100,9:44_4/18,,9.08,77.45,0.776889,3.8,194
100,9:49_4/18,,9.31,77.03,0.777093,3.8,210
100,9:54_4/18,,9.74,76.6,0.776736,3.8,210
100,9:59_4/18,,10.02,76.03,0.776918,3.8,198
100,10:4_4/18,,10.17,75.71,0.776593,3.8,211
100,10:9_4/18,,10.39,75.61,0.776551,3.8,211
100,10:14_4/18,,10.8,75.13,0.777091,3.8,198
100,10:19_4/18,,10.94,74.48,0.7772,3.8,248
100,10:24_4/18,,11.06,73.93,0.776245,3.8,248
100,10:29_4/18,,11.16,73.25,0.7768,3.8,195
100,10:34_4/18,,11.35,73.12,0.777071,3.8,251
100,10:39_4/18,,11.7,72.11,0.77748,3.8,251
100,10:44_4/18,,12.04,71.8,0.778255,3.8,198
100,10:49_4/18,,12.44,71.2,0.777679,3.8,208
100,10:54_4/18,,12.61,70.59,0.777655,3.8,208
100,10:59_4/18,,12.64,70,0.778026,3.8,197
100,11:4_4/18,,13.15,69.66,0.777479,3.8,210
100,11:9_4/18,,13.31,68.46,0.778901,3.8,210
100,11:14_4/18,,13.36,68.51,0.777919,3.8,196
100,11:19_4/18,,14.22,66.99,0.778578,3.8,246
100,11:24_4/18,,15.16,66.27,0.779052,3.8,246
100,11:29_4/18,,15.06,64.72,0.778629,3.8,198
100,11:34_4/18,,14.65,64.74,0.779347,3.8,243
100,11:39_4/18,,14.28,64.75,0.779297,3.8,243
100,11:44_4/18,,14.19,64.98,0.77925,3.8,196
100,11:49_4/18,,14.31,64.21,0.778934,3.8,207
100,11:54_4/18,,14.28,64.8,0.778858,3.8,207
100,11:59_4/18,,14.8,64.02,0.77905,3.8,197
100,12:4_4/18,,14.86,62.89,0.779208,3.8,206
100,12:9_4/18,,14.71,63.33,0.779397,3.8,206
100,12:14_4/18,,14.63,62.68,0.779173,3.8,193
100,12:19_4/18,,15.08,62.11,0.779278,3.8,236
100,12:24_4/18,,15.23,62.43,0.779077,3.8,236
100,12:29_4/18,,15.18,62.04,0.778975,3.8,196
100,12:34_4/18,,16.33,60.51,0.77918,3.8,236
100,12:39_4/18,,15.83,61.39,0.779638,3.8,236
100,12:44_4/18,,15.38,61.04,0.779038,3.8,195
100,12:49_4/18,,15.54,61.71,0.779341,3.8,206
100,12:54_4/18,,15.48,61.27,0.779154,3.8,206
100,12:59_4/18,,15.57,60.58,0.779093,3.8,195
100,13:4_4/18,,15.91,60.53,0.778584,3.8,206
100,13:9_4/18,,16.22,59.11,0.77852,3.8,206
100,13:14_4/18,,16.7,59.39,0.779018,3.8,194
100,13:19_4/18,,16.94,59.34,0.779273,3.8,237
